entity,type,count,num_sources,source_diversity,trust_score
Trump,PERSON,248,166,0.6693548387096774,0.8838709677419356
US,GSP,115,74,0.6434782608695652,0.7214375876577841
India,GPE,66,33,0.5,0.7032258064516129
FBI,ORGANIZATION,56,47,0.8392857142857143,0.7130184331797236
China,GPE,54,37,0.6851851851851852,0.7305854241338113
Pakistan,GPE,48,29,0.6041666666666666,0.7095430107526882
Myanmar,PERSON,45,36,0.8,0.7462903225806452
Canada,GPE,38,22,0.5789473684210527,0.6964346349745332
Donald Trump,ORG,37,30,0.8108108108108109,0.7420008718395815
Top Chef,ORG,37,22,0.5945945945945946,0.6987576285963383
Pahalgam,GPE,36,20,0.5555555555555556,0.6901433691756274
Abrego,GPE,35,32,0.9142857142857143,0.7610829493087558
Tahawwur Rana,PERSON,34,18,0.5294117647058824,0.6833017077798863
Wisconsin,GPE,33,26,0.7878787878787878,0.7341886608015641
FREE,ORGANIZATION,32,2,0.0625,0.5383064516129031
Supreme Court,ORGANIZATION,31,29,0.9354838709677419,0.7120967741935484
Chinese,GPE,30,20,0.6666666666666666,0.7075268817204301
New,GPE,30,28,0.9333333333333333,0.7608602150537634
Israel,GPE,29,19,0.6551724137931034,0.7044215795328144
Legislation,GPE,27,2,0.07407407407407407,0.5865890083632019
Indian,GPE,27,19,0.7037037037037037,0.7125149342891278
Meta,GPE,26,26,1.0,0.7709677419354839
Congress,ORGANIZATION,25,13,0.52,0.6241612903225806
Delhi,GPE,25,14,0.56,0.6821612903225807
French,GPE,25,18,0.72,0.7141612903225807
South Korea,GPE,25,17,0.68,0.7061612903225807
Russian,GPE,24,14,0.5833333333333334,0.6860215053763442
Tahawwur,PERSON,23,14,0.6086956521739131,0.6902875175315568
NIA,ORGANIZATION,23,17,0.7391304347826086,0.666374474053296
Canadian,GPE,23,17,0.7391304347826086,0.716374474053296
House,ORGANIZATION,23,13,0.5652173913043478,0.6315918653576438
Carney,PERSON,22,15,0.6818181818181818,0.7041055718475073
Health,PERSON,22,4,0.18181818181818182,0.6041055718475073
Punjab,GPE,22,16,0.7272727272727273,0.7131964809384165
Amazon Spring Sale,PERSON,21,1,0.047619047619047616,0.5764592933947773
North,GPE,21,18,0.8571428571428571,0.7383640552995393
Rana,ORGANIZATION,20,12,0.6,0.6361290322580645
Senate,ORGANIZATION,20,13,0.65,0.6461290322580645
Texas,GPE,19,13,0.6842105263157895,0.7021646859083193
BJP,ORGANIZATION,19,9,0.47368421052631576,0.6100594227504245
ICE,ORGANIZATION,19,15,0.7894736842105263,0.6732173174872667
Shin Bet,PERSON,18,13,0.7222222222222222,0.7089605734767026
Guide Michelin,ORG,18,14,0.7777777777777778,0.7200716845878137
WhatsApp,ORGANIZATION,18,18,1.0,0.714516129032258
Science,GPE,18,14,0.7777777777777778,0.7200716845878137
Mark Carney,ORG,18,16,0.8888888888888888,0.7422939068100359
Abrego Garcia,PERSON,18,18,1.0,0.7645161290322581
Medical,GPE,18,12,0.6666666666666666,0.6978494623655914
New York,ORG,18,16,0.8888888888888888,0.7422939068100359
Milwaukee,GPE,17,10,0.5882352941176471,0.6813567362428843
Hannah Dugan,ORG,17,14,0.8235294117647058,0.728415559772296
Parenthood,ORGANIZATION,17,17,1.0,0.7137096774193548
Education,GPE,17,17,1.0,0.7637096774193548
Russia,GPE,17,10,0.5882352941176471,0.6813567362428843
Medicaid,ORGANIZATION,17,17,1.0,0.7137096774193548
Marine Le Pen,ORG,17,15,0.8823529411764706,0.740180265654649
Gaza,ORGANIZATION,17,15,0.8823529411764706,0.690180265654649
Harvey Weinstein,ORG,15,14,0.9333333333333333,0.7487634408602151
Syria,GSP,15,15,1.0,0.7120967741935483
Japan,GPE,15,13,0.8666666666666667,0.7354301075268818
Mahmoud Khalil,PERSON,15,11,0.7333333333333333,0.7087634408602151
Israeli,GPE,14,13,0.9285714285714286,0.7470046082949309
Vietnam,PERSON,14,12,0.8571428571428571,0.7327188940092166
South,GPE,14,9,0.6428571428571429,0.6898617511520737
Michigan,ORGANIZATION,14,13,0.9285714285714286,0.6970046082949308
Florida,GPE,13,10,0.7692307692307693,0.7143300248138958
Death,PERSON,13,13,1.0,0.760483870967742
Nigerian,GPE,13,7,0.5384615384615384,0.6681761786600497
National,ORGANIZATION,13,10,0.7692307692307693,0.6643300248138958
Anti,PERSON,12,12,1.0,0.7596774193548387
La Chine,ORG,12,9,0.75,0.7096774193548387
American,GPE,12,12,1.0,0.7596774193548387
Navy,ORGANIZATION,12,9,0.75,0.6596774193548387
DEI,ORGANIZATION,12,8,0.6666666666666666,0.643010752688172
Lagos,GPE,12,7,0.5833333333333334,0.6763440860215054
County,ORGANIZATION,12,11,0.9166666666666666,0.693010752688172
Toll,ORGANIZATION,11,11,1.0,0.7088709677419355
Korean,GPE,11,10,0.9090909090909091,0.7406891495601174
Opinion,GPE,11,7,0.6363636363636364,0.6861436950146629
Maine,PERSON,11,9,0.8181818181818182,0.7225073313782993
Magnitude Earthquake,PERSON,11,11,1.0,0.7588709677419355
Daniel Noboa,ORG,11,10,0.9090909090909091,0.7406891495601174
Netanyahu,PERSON,10,9,0.9,0.7380645161290323
EU,GPE,10,9,0.9,0.7380645161290323
Singh,PERSON,10,9,0.9,0.7380645161290323
Nigeria,GPE,10,6,0.6,0.6780645161290323
Sciences Po,ORG,10,6,0.6,0.6780645161290323
ITVBe,ORGANIZATION,10,1,0.1,0.5280645161290323
Election,GPE,10,9,0.9,0.7380645161290323
Mumbai,GPE,10,7,0.7,0.6980645161290323
Karen Read,PERSON,10,7,0.7,0.6980645161290323
Education Department,ORGANIZATION,10,7,0.7,0.6480645161290323
Africa,GPE,10,5,0.5,0.6580645161290323
Botched,GPE,10,1,0.1,0.5780645161290323
Winnipeg Free,PERSON,9,1,0.1111111111111111,0.5794802867383513
Organ,GPE,9,9,1.0,0.757258064516129
Arrest,PERSON,9,9,1.0,0.757258064516129
Nicolas Sarkozy,ORG,9,8,0.8888888888888888,0.7350358422939068
Abbott,GPE,9,6,0.6666666666666666,0.6905913978494623
Maritime,PERSON,9,7,0.7777777777777778,0.7128136200716846
NIH,ORGANIZATION,9,9,1.0,0.7072580645161289
CAMEROON News,ORG,9,1,0.1111111111111111,0.5794802867383513
Australia,GPE,9,7,0.7777777777777778,0.7128136200716846
Elon Musk,ORG,9,8,0.8888888888888888,0.7350358422939068
Charles Sandringham,PERSON,9,9,1.0,0.757258064516129
Emmanuel Macron,ORG,9,9,1.0,0.757258064516129
Poilievre,GPE,9,8,0.8888888888888888,0.7350358422939068
Sciences Po Strasbourg,ORG,9,8,0.8888888888888888,0.7350358422939068
City,GPE,9,9,1.0,0.757258064516129
Joseph Kabila,ORG,9,7,0.7777777777777778,0.7128136200716846
Philippe Etchebest,ORG,9,9,1.0,0.757258064516129
Alabama,GPE,9,4,0.4444444444444444,0.6461469534050179
Greece,GPE,9,9,1.0,0.757258064516129
Le Mali,ORG,9,9,1.0,0.757258064516129
Bill,PERSON,9,7,0.7777777777777778,0.7128136200716846
Australian,GPE,8,4,0.5,0.6564516129032258
Columbia,GPE,8,6,0.75,0.7064516129032259
Ukraine,GPE,8,5,0.625,0.6814516129032259
NATO,ORGANIZATION,8,6,0.75,0.6564516129032258
Beijing,GPE,8,5,0.625,0.6814516129032259
Pierre Poilievre,ORG,8,6,0.75,0.7064516129032259
Protest,GPE,8,8,1.0,0.7564516129032258
Harpreet Singh,PERSON,8,6,0.75,0.7064516129032259
Ukrainian,GPE,8,6,0.75,0.7064516129032259
Washington,GPE,8,6,0.75,0.7064516129032259
Karnataka,GPE,8,6,0.75,0.7064516129032259
Expert,PERSON,8,4,0.5,0.6564516129032258
Centre,GPE,8,5,0.625,0.6814516129032259
Tanzania,GPE,8,7,0.875,0.7314516129032259
Happy Passia,PERSON,8,4,0.5,0.6564516129032258
California,GPE,8,8,1.0,0.7564516129032258
San,GPE,8,6,0.75,0.7064516129032259
Nepal,GPE,8,8,1.0,0.7564516129032258
Sciences Po Paris,ORG,8,8,1.0,0.7564516129032258
Korea,PERSON,8,5,0.625,0.6814516129032259
News,GPE,7,6,0.8571428571428571,0.7270737327188941
Ile Maurice,ORG,7,1,0.14285714285714285,0.5842165898617512
Party,GPE,7,7,1.0,0.7556451612903226
English,GPE,7,7,1.0,0.7556451612903226
Stock Quote,PERSON,7,1,0.14285714285714285,0.5842165898617512
Newspaper,GPE,7,2,0.2857142857142857,0.6127880184331798
Singapore,GPE,7,7,1.0,0.7556451612903226
Bosnie Milorad Dodik,ORG,7,7,1.0,0.7556451612903226
Au Niger,ORG,7,7,1.0,0.7556451612903226
Iran,GPE,7,7,1.0,0.7556451612903226
Ministry,ORGANIZATION,7,6,0.8571428571428571,0.677073732718894
Le FBI,ORG,7,7,1.0,0.7556451612903226
Uganda,GSP,7,7,1.0,0.7056451612903225
Hungary,GPE,7,6,0.8571428571428571,0.7270737327188941
NMC,ORGANIZATION,7,6,0.8571428571428571,0.677073732718894
Boston,GPE,7,7,1.0,0.7556451612903226
GDP,ORGANIZATION,7,7,1.0,0.7056451612903225
Irish,GPE,7,3,0.42857142857142855,0.6413594470046083
General,ORGANIZATION,7,6,0.8571428571428571,0.677073732718894
B,GPE,7,7,1.0,0.7556451612903226
Jean Imbert,ORG,7,7,1.0,0.7556451612903226
Terror,PERSON,7,6,0.8571428571428571,0.7270737327188941
Pak,GPE,7,6,0.8571428571428571,0.7270737327188941
Zimbabwe,GPE,7,3,0.42857142857142855,0.6413594470046083
Latest,GPE,6,5,0.8333333333333334,0.7215053763440862
Advance,GPE,6,3,0.5,0.6548387096774194
Department,ORGANIZATION,6,6,1.0,0.7048387096774194
Pentagon,FACILITY,6,5,0.8333333333333334,0.7215053763440862
Hezbollah,ORGANIZATION,6,4,0.6666666666666666,0.6381720430107527
الوطنية,ORGANIZATION,6,1,0.16666666666666666,0.5381720430107527
للإعلام,ORGANIZATION,6,1,0.16666666666666666,0.5381720430107527
Saudi,GPE,6,4,0.6666666666666666,0.6881720430107527
Hamas,PERSON,6,3,0.5,0.6548387096774194
Ex,GPE,6,5,0.8333333333333334,0.7215053763440862
European,GPE,6,6,1.0,0.7548387096774194
LA,GPE,6,6,1.0,0.7548387096774194
